Updated on,target_material,gas1,gas1_pc,power_w,pressure_mtorr,power_source,rate_A_s,Note: PUT NEWEST VALUES AT BOTTOM OF LIST (ONLY THE LAST ENTRY WILL BE LOOKED UP)
2025_06_11,C,Ar,100,60,3,Pulsed DC,0.04,
2025_06_23,Fe,Ar,100,150,3,RF,0.53,
2025_06_24,Au,Ar,100,96,3,RF,2.11,
2025_06_24,Au,Ar,100,155,3,RF,3.32,
2025_06_24,Au,Ar,100,150,3,RF,3.24,
2025_06_24,Pt,Ar,100,66,3,RF,0.81,
2025_06_27,Ta,Ar,100,25,3,RF,0.1,
2025_08_25,Ru,Ar,100,150,3,RF,1,
2025_11_07,Ag,Ar,100,150,3,RF,4.2,
2025_12_03,Ir,Ar,100,150,3,RF,1.23,
2026_03_05,Cu,Ar,100,150,3,RF,1.66,
2026_05_05,Ni,Ar,100,150,3,RF,0.73,
2026_05_05,Au,Ar,100,150,3,RF,4.14,
2026_05_05,Pt,Ar,100,150,3,RF,1.49,
2026_05_05,Pd,Ar,100,150,3,RF,2.51,
2026_05_05,Ti,Ar,100,150,3,RF,0.39,
